time,sign,action,risk,weather,hour
2026-03-11 11:57:38.025856,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:38.798511,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:39.047136,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:39.307347,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:39.572222,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:40.076400,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:41.343669,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:42.081705,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:43.330594,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:44.105034,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:45.343517,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:56.546296,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:57.585440,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:58.344145,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:58.870710,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:59.115403,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:59.369039,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:59.625374,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:57:59.879939,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:00.136864,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:00.391342,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:00.633646,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:00.897271,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:01.146318,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:01.404040,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:01.653171,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:01.919110,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:02.170797,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:02.443576,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:02.695534,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:02.946338,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:03.199736,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:03.465385,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:03.715365,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:03.964954,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:04.223770,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:04.491171,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:04.737137,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:04.995622,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:05.245495,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:05.518754,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:05.768875,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:06.024357,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:06.273902,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:06.547066,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:06.805691,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:07.057633,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:07.310769,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:07.568601,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:07.839173,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:08.092193,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:08.345254,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:08.599034,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:08.860811,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:09.110743,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:09.379307,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:09.639661,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:09.896642,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:10.158012,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:10.412639,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:10.675523,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:10.921977,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:11.176184,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:11.434201,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:11.695357,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:11.948719,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:12.209410,speed_limit_90,MONITOR,0.4,Clear,11
